acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-lib 1.2.5.1-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amd-ucode 20210818.c46b8c3-1
archlinux-keyring 20210820-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.4-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+20+gd1e71b3-1
base 2-2
bash 5.1.008-1
bashtop 0.9.25-1
bc 1.07.1-4
betterlockscreen 4.0.1-1
binutils 2.36.1-3
bison 3.7.6-1
bluez-libs 5.60-1
brotli 1.0.9-4
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.69-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
coreutils 8.32-1
cryptsetup 2.4.0-1
curl 7.78.0-1
db 5.3.28-5
dbus 1.12.20-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
diffutils 3.8-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
dunst 1.6.1-2
e2fsprogs 1.46.3-3
efibootmgr 17-2
efivar 37-4
egl-wayland 1.1.7-1
eglexternalplatform 1.1-2
elfutils 0.185-1
expat 2.4.1-1
fakeroot 1.25.3-2
feh 3.7.1-1
file 5.40-5
filesystem 2021.05.31-1
findutils 4.8.0-1
flac 1.3.3-3
flex 2.6.4-3
fontconfig 2:2.13.94-1
freetype2 2.10.4-1
fribidi 1.0.10-1
g810-led-git 0.4.2-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gdbm 1.20-1
gdk-pixbuf2 2.42.6-2
gettext 0.21-1
giflib 5.2.1-2
git 2.33.0-1
glib-networking 1:2.68.1-1
glib2 2.68.4-1
glibc 2.33-5
glibmm 2.66.1-2
gmp 6.2.1-1
gnome-keyring 1:40.0-1
gnupg 2.2.29-1
gnutls 3.7.2-2
go 2:1.17-1
google-chrome 92.0.4515.159-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-3
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
gsettings-desktop-schemas 40.0-3
gtk-update-icon-cache 1:4.2.1-2
gtk3 1:3.24.30-2
gtkmm3 3.24.5-2
guile 2.2.7-1
gzip 1.10-3
harfbuzz 2.9.0-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hwids 20210613-1
i3lock-color 2.13.c.4-1
iana-etc 20210728-1
icu 69.1-1
imagemagick 7.1.0.4-2
imlib2 1.7.3-1
iproute2 5.13.0-1
iptables 1:1.8.7-1
iputils 20210722-1
iso-codes 4.6.0-1
jansson 2.13.1-1
js78 78.13.0-1
json-c 0.15-1
json-glib 1.6.4-1
kbd 2.4.0-2
keyutils 1.6.3-1
kmod 29-1
krb5 1.19.1-1
lcms2 2.12-1
ldns 1.7.1-2
less 1:590-1
libarchive 3.5.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libcanberra 0.30+2+gc0620e4-5
libcap 2.51-1
libcap-ng 0.8.2-3
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.3.3op2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdrm 2.4.107-1
libedit 20210522_3.1-1
libelf 0.185-1
libepoxy 1.5.9-1
libev 4.33-1
libevdev 1.11.0-1
libexif 0.6.22-1
libffi 3.3-4
libfontenc 1.1.4-3
libgcrypt 1.9.3-1
libglvnd 1.3.3-1
libgpg-error 1.42-1
libgudev 237-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn2 2.3.2-1
libinput 1.18.1-1
libjpeg-turbo 2.1.1-1
libksba 1.6.0-1
libldap 2.4.59-2
liblqr 0.4.2-3
libmm-glib 1.16.10-1
libmnl 1.0.4-3
libmpc 1.2.1-1
libndp 1.8-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-5
libnfnetlink 1.0.1-4
libnftnl 1.2.0-1
libnghttp2 1.44.0-1
libnl 3.5.0-3
libnm 1.32.10-1
libnotify 0.7.9-1
libnsl 1.3.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libp11-kit 0.24.0-1
libpcap 1.10.1-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libpipeline 1.5.3-1
libpng 1.6.37-3
libproxy 0.4.17-2
libpsl 0.21.1-1
libpulse 15.0-1
libraqm 0.7.1-1
